,title,company,location,salary,description
0,Software Engineer I (Flutter),Air Asia,Malaysia,,"Work closely with the Product team to understand their expectations of how a feature would function.
Improve, maintain, and execute automated functional,…"
1,Mobile App Developer (Flutter),e27 media platform,Malaysia,,"Work directly with CTO, development teams, and product managers to ideate software solutions.
Build & maintain mobile application in Flutter."
2,Flutter Developr,Agensi Pekerjaan EPS Consultants Sdn Bhd,Kuala Lumpur,,"Focusing on the on developing business application in web technology, such as Website designing, customization, graphic design, web promotion, IT consultancy."
3,"Senior Software Engineer, Mobile (Flutter)",GrabTaxi Pte Ltd,Malaysia,,"When people talk about Grab, they generally refer to the apps that we develop, optimize and maintain.
We are continuously looking to innovate our deliveries and…"
4,Flutter Developer,Bawalorry Sdn Bhd,Kuala Lumpur,,"Responsible for design and development of Android and Ios Apps and Serverless Rest APIs.
Perform coding and testing to deliver best quality applications…"
5,Flutter Developer,Agensi Pekerjaan EPS Consultants Sdn Bhd,Remote in Kuala Lumpur,,"Develop and integrate cross platform mobile application.
Ensure the technical feasibility of UI/UX designs.
Build reusable code and libraries for future use."
6,Flutter,Accion Labs Pte Ltd,Kuala Lumpur,,"Technical experience with Flutter and Dart.
Good knowledge of iTunes app store and Google Play store.
Knowledge of HTML/CSS/JavaScript ideal."
7,Flutter Developer,Brand International,Kuala Lumpur,,Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
8,"Senior Software Engineer, Mobile (Flutter)",Grabtaxi holdings pte ltd,Petaling Jaya,,"When people talk about Grab, they generally refer to the apps that we develop, optimize and maintain.
We are continuously looking to innovate our deliveries and…"
9,Senior QA Engineer - Full time - work remotely,MSP Hitect Pte. Ltd,Remote in Kuala Lumpur,,"QA engineer responsibilities include designing and implementing tests, debugging and defining corrective actions."
10,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,,Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
11,System Analyst - Digital Channels (Mobile),PCCW Solutions Malaysia Sdn. Bhd,Kuala Lumpur,,"Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology, Engineering (Computer…"
12,Frontend Web Developer (VueJS),e27 media platform,Malaysia,,"Our stack - NestJS, VueJS, AWS, Docker, Kubenetes, Flutter.
Work directly with CTO, development teams, and product managers to ideate software solutions."
13,Hybrid Mobile app Developer.,Kamlax Global Technologies Sdn Bhd,Kuala Lumpur,,"Â·Need to have Java core skills set, react.js and typescript or Ionic , PhoneGap,Cordova,flutter.
Â·Degree or Higher Diploma in Computer or related fields."
14,MOBILE DEVELOPER ( FLUTTER/REACHABLE BY LRT KERINCHI),Vivcal Technologies Sdn Bhd,Kuala Lumpur,,"Responsible for design, development, maintenance and enhancements of the in-house and customer base mobile applications.
Job Types: Full-time, Permanent."
15,Flutter Developer,Snappymob,Kuala Lumpur,,"As part of the team, you’ll be collaborating with other engineers and team members on creating delightful, mission-critical software applications that our…"
16,Flutter Mobile Apps Developer,Mutiara Teknologi (M) Sdn Bhd,Malaysia,,"Design & provide recommendations on coding design & client side architecture.
Unit Test, troubleshoot, debug & upgrade application."
17,Mobile iOS Application Developer | Healthcare / Pharma Group...,Agensi Pekerjaan Career Horizons,Remote,,"Design and build quality and advanced app features in iOS platform.
Working in a team of talented iOS developers to deliver amazing native apps."
18,MOBILE FLUTTER DEVELOPER,Indicate Consulting Sdn Bhd,Cyberjaya,,Either deployed on the AppStore/Google Play or available on Github; - 5+ years in mobile software development; - Over one yearâ€™s developing Flutter…
19,Mobile Developer,NAIM HOLDINGS BERHAD,Kuching,,"Â€¢ To design, code, test, and analyze mobile applications on iOS and Android platforms using native and hybrid technologies."
20,System Analyst - Digital Channels (Mobile),PCCW Solutions Malaysia Sdn. Bhd,Kuala Lumpur,,"Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology, Engineering (Computer…"
21,Frontend Web Developer (VueJS),e27 media platform,Malaysia,,"Our stack - NestJS, VueJS, AWS, Docker, Kubenetes, Flutter.
Work directly with CTO, development teams, and product managers to ideate software solutions."
22,Flutter Developer /Programmer,Peoplelogy Development Sdn Bhd,Kuala Lumpur,,"Design, code and deploy cross platform mobile application using Flutter.
Develop app updates following requirements, bug fixes and additional features for…"
23,Hybrid Mobile app Developer.,Kamlax Global Technologies Sdn Bhd,Kuala Lumpur,,"Â·Need to have Java core skills set, react.js and typescript or Ionic , PhoneGap,Cordova,flutter.
Â·Degree or Higher Diploma in Computer or related fields."
24,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
25,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,Kuala Lumpur,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
26,Software Engineer,Wemabox Solutions Sdn. Bhd.,Ipoh,,"Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
27,Software Developer,Brand International,Kuala Lumpur,,"Senior/Junior level, front-end developer / back-end developer.
Involve all aspects of the software development cycle including analysis requirement, design,…"
28,Programmer,TBS Solutions Sdn Bhd,Penang,,"At least 2 year(s) experiences in WEB or Mobile APPS (either iOS or Android) development.
Candidate must possess at least a Bachelor's Degree, Post Graduate…"
29,Senior System Analyst (Mobile Applications),PCCW Solutions Malaysia Sdn. Bhd,Kuala Lumpur,,"5 to 10 years of relevant telco experiences.
Technical Skill (Programming Language/ Database).
Knowledge in Android, iOS, Java Enterprise application, Maven,…"
30,Mobile App Developer,BestWeb Technologies Sdn Bhd,Bukit Jalil,"RM 3,000 - RM 6,000 a month","Participate in full mobile application development life cycle.
Work closely with backend team and project management team to accomplish the technical…"
31,Mobile App Developer,Wemabox Solutions Sdn. Bhd.,Ipoh,"RM 3,000 - RM 3,499 a month","Job Description Mobile App Developer is responsible to design and implement system, feature, and solutions business needs."
32,Application Software Developer,Recogine Technology Sdn Bhd,Putra Heights,"RM 2,800 - RM 5,000 a month","We are looking for a Full Stack Developer responsible for managing both the server and the client on web and mobile.
Integration of data storage solutions."
33,Frontend Web Developer (VueJS),e27 media platform,Malaysia,"RM 4,000 - RM 8,000 a month","Our stack - NestJS, VueJS, AWS, Docker, Kubenetes, Flutter.
Work directly with CTO, development teams, and product managers to ideate software solutions."
34,Customer Support,Ejen2u International Sdn Bhd,Putrajaya,"RM 2,000 - RM 4,000 a month","Knowing some php, mysql, flutter and/or laravel is a plus.
Troubleshoot and respond to client based on the ticket assigned.
In house IT support issue."
35,3D/Web GL Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 7,000 a month","Design to scale from phones to tablets to desktop monitors.
Create AI-powered interactive 3D assets using WebGL, three.js or new web 3d framework/library."
36,Hybrid Mobile app Developer.,Kamlax Global Technologies Sdn Bhd,Kuala Lumpur,"RM 5,000 - RM 12,000 a month","Â·Need to have Java core skills set, react.js and typescript or Ionic , PhoneGap,Cordova,flutter.
Â·Degree or Higher Diploma in Computer or related fields."
37,Flutter Developer,QueueMed HealthTech Sdn Bhd,Petaling Jaya,,"Participate in new project or enhancement project with full mobile application development life cycle.
Experience in front end or back development."
38,GOLANG / FLUTTER ENGINEER,PPAY GROUP,Kuala Lumpur,"RM 10,000 - RM 20,000 a month",". Create and maintain an advanced application on the iOS /Andriod platform (Flutter).
Work together with cross-functional teams to define, design, and ship new…"
39,Junior Software Developer (Fresh Graduate to 1 year of exper...,Plus Xnergy Edge Technologies,Kuala Lumpur,,Work in full stack development from micro services architecture which interconnect all services to create an optimum system to building in-house dashboard…
40,Mobile Developer (Kuching),Naim Holdings,Kuching,,"To develop and maintain high-quality mobile applications and create the next revolution.
To design, code, test, and analyse mobile applications on iOS and…"
41,Mobile Application Developer,PIRAI INFOTECH SDN BHD,Kuala Lumpur,"RM 8,000 - RM 9,999 a year","Â—� Having Hands-on experience in hybrid/ Cross -Platform mobile app development like flutter, react native.
Â—� Must be hands on in designing the Mobiles Apps …"
42,Mobile/Web Developer,Plant Cartridge Sdn Bhd,Malaysia+1 location,"RM 4,000 - RM 4,999 a month","Net, PHP, Java, Phyton - Firebase, MySQL, MSSQL."
43,Software Developer,Brand International,Kuala Lumpur,"RM 3,500 - RM 6,500 a month","Senior/Junior level, front-end developer / back-end developer.
Involve all aspects of the software development cycle including analysis requirement, design,…"
44,Programmer,TBS Solutions Sdn Bhd,Penang,"RM 2,500 - RM 5,000 a month","At least 2 year(s) experiences in WEB or Mobile APPS (either iOS or Android) development.
Candidate must possess at least a Bachelor's Degree, Post Graduate…"
45,Mobile App Developer,ETCTECH GLOBAL SDN BHD,Kepong,"RM 3,000 - RM 6,000 a month","Play a key role to conduct the whole process of designing, building, testing, and deploying the innovative mobile apps.
Job Types: Full-time, Permanent."
46,Mobile Application Developer (iOS/Android/Flutter / Partiall...,Artemis Solution (M) Sdn. Bhd,Remote in Petaling Jaya,"RM 5,500 a month","Developing, debugging and supporting mobile applications (iOS/Android) and their infrastructure.
Be actively involved in technical design of the application."
47,System Analyst - Digital Channels (Mobile),PCCW Solutions Malaysia Sdn. Bhd,Kuala Lumpur,"RM 10,000 - RM 14,000 a month","Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology, Engineering (Computer…"
