,title,company,location,salary,description
0,Snr Flutter Developer,Green Packet International Sdn Bhd,Selangor,,"Job Responsibilities:

Designs, develops, and provides customization of various…"
1,Mobile Application Developer,Innovatz Solutions Private Limited,Kuala Lumpur,,"Diploma/Degree in Information & Technology(IT), Software Engineering, Computer Science or a related field or equivalent practical experience."
2,Flutter Developer,4X Software Sdn Bhd,Cyberjaya,,"Your role As a Flutter Developer at Deriv, you will be responsible for designing and developing applications for iOS and Android platforms while working closely…"
3,Mobile Application Developer - Flutter,JobCity.my,Kuala Lumpur,,"Participate in deployment of system including user requirement scoping, design, coding, testing and implementation Ensure the successful delivery of the various…"
4,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,,Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
5,Software Engineer,Wemabox Solutions Sdn. Bhd.,Ipoh,,"Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
6,Wordpress & Mobile App Developer,Advance Plus Property Management Sdn Bhd,Bukit Gelugor,,"Job Scopes: - Develop and maintain websites and web-based application with WordPress, WooCommerce & CMS - Designing, integrating, upgrading and maintaining the…"
7,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
8,Flutter Developer,Snaphunt,Kuala Lumpur,,"The OfferOpportunity within an award-winning people development solutions firmBe involved in developing high-impact products Work in a fast-paced, startup…"
9,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,Kuala Lumpur,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
10,Account Executive (Digital Media Project),Nuren Group,Malaysia,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
11,Junior Full Stack Developer I WFH & Office-Hybrid,AGTIV Consulting Sdn Bhd,Kuala Lumpur•Remote,,"Our projects are with some of the largest banks, insurance, oil & gas as well as pharmaceutical companies in Malaysia, Singapore, India, France, and beyond."
12,Mobile Developer (Flutter),Hays,Malaysia,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
13,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,Shah Alam•Remote,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
14,"Full Stack Web Application Developer @ Butterworth, Penang",PERSOLKELLY,George Town,,"Developing back end website applications.
Ensuring cross-platform optimization for mobile phones.
Working alongside graphic designers for web design features."
15,Flutter Developer,BEEDUCATION ADVENTURES SDN BHD,Subang Jaya,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
16,Software Engineer,Motorola Solutions,Penang,,And in everyday moments — when a package arrives just in time for the holiday or when a child doesn’t miss the school bus home.
17,Mobile Developer,Tamarix Onesolutions Sdn Bhd,Cyberjaya,,"✅ Familiar with flutter framework (Added Advantage).
✅ Transform business requirement into mobile apps.
✅ Experienced in IOS and Android Developments."
18,Mobile App Developer,Wemabox Solutions Sdn. Bhd.,Ipoh,,"Job Description Mobile App Developer is responsible to design and implement system, feature, and solutions business needs."
19,Internship for Computer IT (Web Programmer),Dideta Multitech Sdn Bhd,Pasir Puteh,,Testing and de-bugging to make sure our platform runs smoothly Data processing and analysis Exposure to cloud technologies Requirements: Candidate must possess…
20,FULL STACK WEB APPLICATION DEVELOPER,BLUEWARE MALAYSIA SDN BHD,Butterworth,,"Designing user interactions on web pages.
Developing back end website applications.
Creating servers and databases for functionality."
21,Internship 2022 - IT/Computer Science/Software Engineering,GNey Software Sdn Bhd,Masai,,View all GNey Software Sdn Bhd jobs - Masai jobsSalary Search: Internship 2022 - IT/Computer Science/Software Engineering salaries
22,Flutter Developer,ACD Development Sdn. Bhd,Subang Jaya,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
23,Unity Developer,Hays,Malaysia,,"You would be responsible for developing interactive experiences such as Augmented Reality & Virtual Reality, be it on any platform events, kiosks, mobile,…"
24,Mobile Apps Developer,Agensi Pekerjaan Career Horizons,Kuala Lumpur•Remote,,"• Transform business requirements into functional mobile apps.
Monitor, optimize and maintain high performance of the application."
25,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,Puchong,,"Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
26,Mobile App Developer,Marvel Media Sdn Bhd,Jelutong,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
27,Full Stack Web Application Developer,Agensi Pekerjaan Allstaff Sdn Bhd,Butterworth,,Qualification: • Bachelor's Degree in Computer Science or equivalent Job Scope: • Developing front end website architecture.
28,PHP developer,Agensi Pekerjaan Synopsis Sdn Bnd,Cyberjaya,,Requirements: ✅ Have extensive knowledge in exploring API and UI standards ✅ Familiar with php/laravel framework ✅ Familiar with flutter framework (Added…
29,"Manager, Operations Solutions",Skylink Pacific Solutions Sdn Bhd,Kuala Lumpur,,Job Responsibilities • Oversee operations solutions’ development and implementation of projects that contribute to the improvement and standardization of the…
