,title,company,salary,description
0,Flutter/Dart App Developer ( all levels),Ukuya Sdn Bhd,"RM 2,500 - RM 2,999 a month","Candidates will be responsible for the development through business, engineering, and scientific problems using well-defined methods, procedures, and programs…"
1,INTERNSHIP-Flutter App Developer for Islamic projects,AQ Wise Sdn Bhd,,"Education = Diploma or Bachelor's in IT/Programming/Software Engineering or other related fields.
Willing to work hard and extra hours to complete the projects."
2,Flutter Developer,UP DEVLABS SDN BHD,"RM 4,000 - RM 4,999 a month",Job Description: • Design and develop state of the art highly interactive and rich animation experience for mobile using Flutter.
3,Flutter Mobile App Developer,Applify Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Architect, design, develop, and maintain Flutter applications.
Integrate various APIs from third parties."
4,Mobile App Developer (Flutter),BIZ Trading & Total Cad Solution SDN. BHD.,"RM 6,000 - RM 7,999 a month",We’re Biz Trading and Total CAD Solutions SDN BHD looking for someone who has talent in mobile app developer who has a good command on single code base…
5,Web / App Developer (Internship),Saratix,"RM 800 - RM 1,000 a month","Python coding language (open source coding that can be used for Artificial Intelligence and Machine Learning).
Familiarity in AWS / Google Colab."
6,IT Intern,BestWeb Technologies Sdn Bhd,,"Support the Operation team in maintaining support ticketing system.
Assist with troubleshooting issues and provide technical support."
7,IT Support,Lapasar.com,"RM 2,000 - RM 4,000 a month","To perform enhancement and defect fixing at the code level.
To work closely with internal and external users to understand their needs & issues."
8,Flutter Mobile App Developer,Ultranet Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Integrate mobile applications with backend RESTful services.
Work with outside data sources and APIs."
9,Mobile Application Developer (Flutter),GME Technical Services Sdn Bhd,"RM 3,000 - RM 5,000 a month","Participate in deployment of system including user requirement scoping, design, coding, testing and implementation.
Maintain and support the existing system."
10,Flutter Developer,Artisan IT Solution Sdn Bhd,,"Support the entire application lifecycle (concept, design, test, release and support).
Develop fully functional mobile applications writing clean code."
11,Flutter Developer,Snappymob,"RM 5,500 - RM 7,500 a month","Architect, design, develop, and maintain Flutter applications.
Collaborate with the engineering team at large in software design sessions, code reviews,…"
12,Internship for Mobile App Developer (Flutter),GTrade Technology Sdn Bhd,,"Design and develop state of the art highly interactive and rich animation experience for mobile using Flutter.
Job Types: Full-time, Internship."
13,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
14,Mobile App Developer (iOS/Android/Flutter),TOURPLUS TECHNOLOGY SDN BHD,"RM 5,000 - RM 5,999 a month","Developing mobile app for customer and provider app, to develop and maintain mobile app performance and improve functionality of the mobile app."
15,Site Reliability Engineer,BIGPAY MALAYSIA SDN BHD,"RM 10,000 - RM 12,999 a month","When incidents occur, you will be on the front line of investigation and remediation and direct action from our backend, devops and other teams."
16,Mobile Apps Developer (Flutter),SOFAX SDN BHD,"RM 5,000 - RM 8,000 a month","Responsible in creating and enhance new features of existing and upcoming project.
Work closely with the project team for in-house application."
17,Junior/Senior Flutter Mobile Developer,vimigo,"RM 3,000 - RM 9,000 a month","Free flow snacks, biscuits, coffee, beverages and soft drinks.
Responsible for design, development, maintenance and enhancements of the in-house and customer…"
18,Flutter Mobile App Developer,BestWeb Technologies Sdn Bhd,"RM 2,500 - RM 5,000 a month","Develop flutter application using Dart (Required).
Integrate mobile applications with backend RESTful services.
Work with outside data sources and APIs."
19,Junior Programmer,De Metrology Sdn. Bhd.,"RM 2,000 - RM 2,500 a month","You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
20,Flutter Mobile Engineer,ALPHAPOD SDN BHD,,"Build new features by working closely with product managers and designers.
Integrate apps with backend systems and APIs."
21,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
22,Mobile Developer,Unijaya Resources Sdn. Bhd.,"RM 2,500 - RM 2,999 a month","Required Skill(s): Ionic, flutter, PHP, Laravel, Angular JS, Vue JS, React Preferably Junior Executive specialized in IT/Computer - Software or equivalent."
23,Graduate Trainee - Mobile Application Developer,Agmo Studio Sdn Bhd,"RM 2,800 - RM 3,200 a month","Collaborate with cross-functional teams to design and develop mobile application.
Integrate with REST JSON API.
Post production monitoring and support."
24,Customer Support,Ejen2u International Sdn Bhd,"RM 2,000 - RM 3,700 a month","Knowing some php, mysql, flutter and/or laravel is a plus.
Troubleshoot and respond to client based on the ticket assigned.
In house IT support issue."
25,MOBILE APP DEVELOPER,AGENSI PEKERJAAN STRATEGIC BAY SDN BHD,"RM 6,000 - RM 7,999 a month","Skills. Native iOS, android , and /or flutter  Language proficiency- Chinese/ English  Salary range 4-8k depending on experience  Gender / race preference if…"
26,Mobile App Developer (Android/iOS/Flutter),Times Consult,"RM 5,000 - RM 8,000 a month","Support the entire application lifecycle (concept, design, test, release and support).
Understand client requirements and how they translate in application…"
27,WEB & MOBILE APP DEVELOPER,AGENSI PEKERJAAN HUNTERS SEARCH SDN. BHD.,"RM 4,000 - RM 4,999 a month","Requirements : • Minimum Bachelor’s Degree in Computer Science/Computer Engineering or equivalent.
Proficiency in web frontend development and cross-platform…"
28,Hybrid App Developers,Robomy Sdn Bhd,,"Design and Build sophisticated and highly scalable apps using Flutter/React native / Cordova and.
Build custom packages in Flutter / React/ Cordova using the…"
29,Mobile App Developer Intern,Tinkerve LLP,RM 500 - RM 800 a week,"The role works collaboratively with Business Analysts, Backend developers and release management to develop new and exciting mobile applications."
30,Junior Programmer,De Metrology Sdn. Bhd.,"RM 2,000 - RM 2,500 a month","You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
31,Mobile Apps Developer (Flutter),SOFAX SDN BHD,"RM 5,000 - RM 8,000 a month","Responsible in creating and enhance new features of existing and upcoming project.
Work closely with the project team for in-house application."
32,Mobile App Developer (Android/iOS/Flutter),Times Consult,"RM 5,000 - RM 8,000 a month","Support the entire application lifecycle (concept, design, test, release and support).
Understand client requirements and how they translate in application…"
33,MOBILE APP DEVELOPER,AGENSI PEKERJAAN STRATEGIC BAY SDN BHD,"RM 6,000 - RM 7,999 a month","Skills. Native iOS, android , and /or flutter  Language proficiency- Chinese/ English  Salary range 4-8k depending on experience  Gender / race preference if…"
34,Mobile Developer,Unijaya Resources Sdn. Bhd.,"RM 2,500 - RM 2,999 a month","Required Skill(s): Ionic, flutter, PHP, Laravel, Angular JS, Vue JS, React Preferably Junior Executive specialized in IT/Computer - Software or equivalent."
35,Customer Support,Ejen2u International Sdn Bhd,"RM 2,000 - RM 3,700 a month","Knowing some php, mysql, flutter and/or laravel is a plus.
Troubleshoot and respond to client based on the ticket assigned.
In house IT support issue."
36,Graduate Trainee - Mobile Application Developer,Agmo Studio Sdn Bhd,"RM 2,800 - RM 3,200 a month","Collaborate with cross-functional teams to design and develop mobile application.
Integrate with REST JSON API.
Post production monitoring and support."
37,Hybrid App Developers,Robomy Sdn Bhd,,"Design and Build sophisticated and highly scalable apps using Flutter/React native / Cordova and.
Build custom packages in Flutter / React/ Cordova using the…"
38,WEB & MOBILE APP DEVELOPER,AGENSI PEKERJAAN HUNTERS SEARCH SDN. BHD.,"RM 4,000 - RM 4,999 a month","Requirements : • Minimum Bachelor’s Degree in Computer Science/Computer Engineering or equivalent.
Proficiency in web frontend development and cross-platform…"
