,title,company,location,salary,description
0,Snr Flutter Developer,Green Packet International Sdn Bhd,Selangor,,"Job Responsibilities:

Designs, develops, and provides customization of various…"
1,Programmer,TBS Solutions Sdn Bhd,Penang,"RM 2,500 - RM 5,000 a month","At least 2 year(s) experiences in WEB or Mobile APPS (either iOS or Android) development.
Candidate must possess at least a Bachelor's Degree, Post Graduate…"
2,Flutter Developer,Snaphunt,Kuala Lumpur,,"The OfferOpportunity within an award-winning people development solutions firmBe involved in developing high-impact products Work in a fast-paced, startup…"
3,Software Engineer,Wemabox Solutions Sdn. Bhd.,Ipoh,"RM 3,000 - RM 3,499 a month","Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
4,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
5,Internship for Computer IT (Web Programmer),Dideta Multitech Sdn Bhd,Pasir Puteh,"RM 1,200 a month",Testing and de-bugging to make sure our platform runs smoothly Data processing and analysis Exposure to cloud technologies Requirements: Candidate must possess…
6,Junior/Senior Software Tester,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 6,000 a month","As a Unit Software Tester, you will play an instrumental role in fueling Company’s growth through providing timely solutions to execute all levels of testing …"
7,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
8,Internship 2022 - IT/Computer Science/Software Engineering,GNey Software Sdn Bhd,Masai,,View all GNey Software Sdn Bhd jobs - Masai jobsSalary Search: Internship 2022 - IT/Computer Science/Software Engineering salaries
9,Software Developer,Pingspace Sdn. Bhd.,Bayan Lepas•Temporarily Remote,"RM 3,500 a month","Our Software Developers work on a range of problems: from the backend (designing database, designing operation optimization algorithms, designing communication…"
10,Wordpress & Mobile App Developer,Advance Plus Property Management Sdn Bhd,Bukit Gelugor,"RM 3,000 - RM 3,499 a month","Job Scopes: - Develop and maintain websites and web-based application with WordPress, WooCommerce & CMS - Designing, integrating, upgrading and maintaining the…"
11,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,Kuala Lumpur,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
12,Unity Developer,Hays,Malaysia,"RM 7,000 - RM 10,000 a month","You would be responsible for developing interactive experiences such as Augmented Reality & Virtual Reality, be it on any platform events, kiosks, mobile,…"
13,Android Developer 1,Sicpa,Malaysia,,"Work on defining and implementing nextWork on defining and implementing next-generation, innovative architecture for Android mobile application."
14,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,Puchong,"RM 3,000 - RM 5,000 a month","Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
15,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,Puchong,"RM 3,000 - RM 5,000 a month","Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
16,Android Developer 1,Sicpa,Malaysia,,"Work on defining and implementing nextWork on defining and implementing next-generation, innovative architecture for Android mobile application."
17,Flutter Developer,ACD Development Sdn. Bhd,Subang Jaya,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
18,Account Executive (Digital Media Project),Nuren Group,Malaysia,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
19,Developer Computer Science Intern (6 months),Mysuri Biz Technologies Sdn Bhd,Cyberjaya,"RM 1,200 a week","Stack : HTML CSS JavaScript jQuery - Good to have basic knowledge in back-end framework like laravel / nodejs, but not compulsory - Fresh grad is encouraged to…"
20,Mobile App Developer,Marvel Media Sdn Bhd,Jelutong,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
21,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,Shah Alam•Remote,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
22,"Full Stack Web Application Developer @ Butterworth, Penang",PERSOLKELLY,George Town,"RM 2,500 - RM 3,500 a month","Developing back end website applications.
Ensuring cross-platform optimization for mobile phones.
Working alongside graphic designers for web design features."
23,Associate/Senior Mobile Engineer (Flutter),Astro,Kuala Lumpur,,"The role will build, enhance and monitor mobile apps of ASTRO digital products, in a team that is focused on quality and security of mobile appsWhat you will do…"
24,Software Developer,Get Hyred Sdn.Bhd,Petaling Jaya,"RM 2,500 - RM 2,999 a month","Experience: 2 to 3 years experience minimum, experienced in developing using c#, java, kotlin, typescript or JavaScript Experienced in HTTP technologies and web…"
25,Flutter Developer,GetEat,Klang,"RM 5,000 - RM 9,000 a month","You will interact with talented stakeholders and learn cutting-edge technologies.
Publishing apps on to App Store.
Publishing apps on to Google Play."
26,Mobile App Developer,Wemabox Solutions Sdn. Bhd.,Ipoh,"RM 3,000 - RM 3,499 a month","Job Description Mobile App Developer is responsible to design and implement system, feature, and solutions business needs."
27,Internship Technical and Sales,Dideta Multitech Sdn Bhd,Pasir Puteh,"RM 1,200 a month",Testing and de-bugging to make sure our platform runs smoothly Data processing and analysis Exposure to cloud technologies Requirements: Candidate must possess…
28,Full Stack Web Application Developer,BLUEWARE MALAYSIA SDN BHD,Butterworth,,"Designing user interactions on web pages.
Developing back end website applications.
Creating servers and databases for functionality."
29,Software Engineer,FEEDME POS SDN BHD,Johor Bahru,"RM 4,000 - RM 4,999 a month","Join our young and innovative product team and start to deliver high-quality software to South East Asia.
Our Perks: EPF, SOCSO, EIS Various allowance Annual…"
