,title,company,salary,description
0,Junior Flutter Developer,ADVISORY APPS SDN BHD,"RM 3,500 - RM 3,999 a month","Test and resolve bug issues.
Ensure app works across multiple devices.
Collaborate with cross-functional teams to define, design and ship new features."
1,Flutter Developer,Nezda Technologies (Malaysia),"RM 3,000 - RM 5,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
2,IT Intern,BestWeb Technologies Sdn Bhd,,"Support the Operation team in maintaining support ticketing system.
Assist with troubleshooting issues and provide technical support."
3,Web / App Developer (Internship),Saratix,"RM 800 - RM 1,000 a month","Python coding language (open source coding that can be used for Artificial Intelligence and Machine Learning).
Familiarity in AWS / Google Colab."
4,Front-end Engineer (Mobile Application),Chargeplus Sdn Bhd,"RM 4,000 - RM 6,000 a month","You are here not just to code, but also to contribute to business growth initiatives, collaborate with cross-border teams and come up with new tech solutions to…"
5,Mobile App Developer,BestWeb Technologies Sdn Bhd,"RM 2,500 - RM 5,500 a month","Constantly improving the performance, scalability, and reliability of the mobile application.
Understanding the importance of maintainable/sustainable product…"
6,IT Support,Lapasar.com,"RM 2,000 - RM 4,000 a month","To perform enhancement and defect fixing at the code level.
To work closely with internal and external users to understand their needs & issues."
7,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
8,Mobile App Developer (Flutter),BIZ Trading & Total Cad Solution SDN. BHD.,"RM 6,000 - RM 7,999 a month",We’re Biz Trading and Total CAD Solutions SDN BHD looking for someone who has talent in mobile app developer who has a good command on single code base…
9,Junior Programmer,De Metrology Sdn. Bhd.,"RM 2,000 - RM 2,500 a month","You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
10,Flutter Developer,Idw design & build sdn bhd,"RM 3,500 a month","At least 1 year worth of industry experience as Full Stack Developer or similar role in a production environment.
Familiarity with limitations of Node."
11,Flutter Developer (Intern),Webby Sdn Bhd,"RM 500 - RM 1,000 a week","Architect, build and maintain excellent Flutter applications with clean code.
Implement pixel perfect UI's that match designs.
Integrate third-party API's."
12,Software Analyst ( Web & Mobile Development Project ),FIREWORKS SOLUTIONS SDN BHD,"RM 4,000 - RM 6,000 a month","Detailed and able to do proper documentation.
Project Which you will be working on.
Loyalty Solutions with Marketing Tech.
We track time and pay by time based."
13,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
14,Full Stack Developer (Mobile & Web Application),Chargeplus Sdn Bhd,"RM 4,000 - RM 6,000 a month","You are here not just to code, but also to contribute to business growth initiatives, collaborate with cross-border teams and come up with new tech solutions to…"
15,Flutter Developer,Agensi Pekerjaan EPS Consultants Sdn Bhd,,".Design and develop high-volume, low-latency applications for mission-critical systems, delivering high-availability and performance."
16,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
17,Flutter Developer,Artisan IT Solution Sdn Bhd,,"Support the entire application lifecycle (concept, design, test, release and support).
Develop fully functional mobile applications writing clean code."
18,Mobile App Developer (iOS/Android/Flutter),TOURPLUS TECHNOLOGY SDN BHD,"RM 5,000 - RM 5,999 a month","Developing mobile app for customer and provider app, to develop and maintain mobile app performance and improve functionality of the mobile app."
19,Mobile Application Developer,E-INFOMEDIA SOLUTIONS SDN BHD,"RM 4,000 - RM 4,999 a month","Requirements 2-5 years experiences in cross platform mobile development (preferably Flutter).
Experience and knowledge with web service integration."
20,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
21,Web Developer,BBCSB,"RM 4,000 - RM 8,000 a month","Bachelor’s degree in computer programming, computer science, or related field, or equivalent practical experience for at least 3 years."
22,Full Stack Programmer,BCDE Digital Limited,"RM 3,000 - RM 7,500 a month","Developing and managing well-functioning databases and applications.
Developing front-end website architecture with appealing visual design."
23,Mobile App Developer,Original Intelligence Sdn Bhd,"RM 4,000 - RM 6,000 a month","Develop, maintain, enhance and test mobile applications.
Maintain companyʼs IT infrastructure.
Provide technical support for software, hardware and network…"
24,Lead Software Engineer (Flutter),FMH GROUP SDN. BHD.,"RM 10,000 - RM 12,999 a month",Responsibilities include: • Lead a team of mobile engineer • Participate actively in technical planning meetings to ensure technical dependencies are discussed…
25,Flutter Developer,Snappymob,"RM 5,500 - RM 7,500 a month","Architect, design, develop, and maintain Flutter applications.
Collaborate with the engineering team at large in software design sessions, code reviews,…"
26,Mobile Web Developer,JobsJK PLT,"RM 4,000 - RM 4,999 a month","Reporting to the Team Leader, your responsibilities would be to: • Work as part of the team to meet project targets and quality objectives • Development of…"
27,WEB & MOBILE APP DEVELOPER,AGENSI PEKERJAAN HUNTERS SEARCH SDN. BHD.,"RM 4,000 - RM 4,999 a month","Requirements : • Minimum Bachelor’s Degree in Computer Science/Computer Engineering or equivalent.
Proficiency in web frontend development and cross-platform…"
28,Lead QA,Scout Sparrow Consulting sdn bhd,"RM 15,000 a month","The Lead QA is responsible for test automation for the Carsome Tech and will be working in a high intensity, deadline driven environment."
29,IT Support Engineer,Ninja Van,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
30,UI / UX Designer,E-INFOMEDIA SOLUTIONS SDN BHD,"RM 3,000 - RM 3,499 a month","Responsibilities • Gather and evaluate user requirements in collaboration with product managers and engineers • Illustrate design ideas using storyboards,…"
